time, shoulder_pan_joint, shoulder_lift_joint, elbow_joint, wrist_1_joint, wrist_2_joint, wrist_3_joint
0,-1.68,-1.4018,-1.8127,-2.9937,-0.8857,3.072
0.1,-1.61763561797526,-1.40007169798656,-1.75131855215334,-3.05262888842606,-0.823520981831703,3.06563473189314
0.2,-1.55868394955624,-1.40626536462127,-1.68493761507382,-3.10809726575142,-0.76476481337314,3.05890502339176
0.3,-1.50299221610878,-1.41995033359586,-1.61444573852622,-3.15959961686669,-0.709281156735169,3.0517440700489
0.4,-1.45042456419404,-1.4407144284097,-1.54095608008332,-3.20637931386051,-0.656935428120131,3.04408079583822
0.5,-1.40081707285626,-1.46808615356028,-1.4662694323178,-3.24703587436528,-0.607567874956857,3.03582947626345
0.6,-1.35408018982632,-1.50143618592617,-1.39374418659417,-3.27876711226096,-0.56109053445204,3.02690714487927
0.7,-1.31036189466623,-1.53947193612775,-1.33052351771756,-3.2956882009035,-0.517652453567966,3.01727827914449
0.8,-1.27083246285773,-1.57892316134157,-1.29227487027515,-3.28564290503266,-0.478416020596423,3.00721479432927
0.9,-1.23982147868012,-1.61234816322857,-1.30457289300699,-3.23184332177213,-0.447667978311557,2.99818872997898
1,-1.22287559512703,-1.63321121193737,-1.36676228989166,-3.14386983454716,-0.43088053739531,2.99275166725158
1.1,-1.21668551788166,-1.64658054688199,-1.44571058688822,-3.04965399944039,-0.424751275236124,2.99066544632916
1.2,-1.21664587433327,-1.65807718216668,-1.52669509714744,-2.9571605719186,-0.424712024595039,2.99065196354185
1.3,-1.2209187988395,-1.66973090820099,-1.60611048422494,-2.86740811151028,-0.428942787157783,2.99209837817875
1.4,-1.22907408523162,-1.68174777682103,-1.6831946869616,-2.78074666279252,-0.437019735130374,2.9947859960881
1.5,-1.24156745193257,-1.69298881141872,-1.75805063682136,-2.69821058391298,-0.449398248195152,2.99872767711898
1.6,-1.2598649013541,-1.70038712241353,-1.83093493476616,-2.6227894849761,-0.467537763839921,3.0041488198235
1.7,-1.28704243372713,-1.6970785550965,-1.9009792405609,-2.562588102873,-0.494500671683062,3.01151891155294
1.8,-1.327483440521,-1.67078337490724,-1.96129221339201,-2.53701382007931,-0.534660042361107,3.02121655440644
1.9,-1.37797359405726,-1.61952102510535,-1.9943290073228,-2.56406168045229,-0.584847418433702,3.03162442854938
2,-1.42790060318232,-1.56409888131982,-1.99756092455951,-2.6235069315963,-0.634517183348574,3.04047108103178
2.1,-1.47646054467974,-1.51455887222096,-1.9815959011685,-2.69496695655026,-0.682858296959411,3.0479992172271
2.2,-1.52517667150522,-1.47313708177218,-1.95244010303371,-2.77064195893825,-0.731379631557967,3.05470223961262
2.3,-1.57512771680978,-1.4404567985692,-1.91317071019608,-2.84707342596159,-0.78115171414476,3.06086164582382
2.4,-1.62704657723493,-1.41662632357749,-1.86565264668539,-2.92242032548582,-0.832902708186687,3.06664058190549
2.5,-1.68147814254774,-1.40150388437704,-1.81117600950781,-2.9956103240967,-0.887174455923422,3.07214261604842
2.6,-1.73886485575635,-1.39481420224188,-1.75073263544211,-3.06597168786927,-0.944407336447742,3.07743997038663
2.7,-1.79960025993513,-1.39622182059985,-1.68517831680659,-3.13301033273058,-1.00499323044668,3.08258871508304
2.8,-1.86406886171277,-1.40537308416108,-1.61538756896012,-3.19621944472018,-1.06931521186467,3.08763768966688
2.9,-1.93268741176572,-1.42190826736431,-1.54247739218919,-3.2548466941432,-1.13778865406081,3.09263496930385
3,-2.00594873813218,-1.44542412989426,-1.46823274571681,-3.3075067930768,-1.21090481678502,3.09763311960663
3.1,-2.08442934618245,-1.47531838829914,-1.39604911915793,-3.35139212610391,-1.28923844378961,3.10269174302646
3.2,-2.16853607690536,-1.51031050601861,-1.3331810720986,-3.38049684588907,-1.37319485520751,3.10786559606965
3.3,-2.25681430270112,-1.54710008403879,-1.29559788458093,-3.38209367285416,-1.4613204043379,3.11311307767886
3.4,-2.33902643997692,-1.57818518018593,-1.30915290662576,-3.33778169821725,-1.54339339816377,3.11790742594649
3.5,-2.39514108383041,-1.59731962240779,-1.37226152940984,-3.25553664715411,-1.59941349767348,3.12116358459981
3.6,-2.42577317612614,-1.60958676083793,-1.45184993988991,-3.16360293415867,-1.62999392999632,3.12294412385425
3.7,-2.44033486798482,-1.62031998844571,-1.53354268268771,-3.07112060781749,-1.64453099518618,3.1237926245857
3.8,-2.44326939854504,-1.63144028309961,-1.61377342379836,-2.97975670083382,-1.64746052845193,3.12396386950731
3.9,-2.43584845577835,-1.64314522079874,-1.69175488004377,-2.89010186366116,-1.64005217548291,3.1235310360118
4,-2.41724110766829,-1.65434225610746,-1.76754052762981,-2.80318410385677,-1.62147624908074,3.12244773453544
4.1,-2.38428227477179,-1.66206423296928,-1.84128841070884,-2.72177977311571,-1.58857301496896,3.12053330183098
4.2,-2.33033813297573,-1.65964249363436,-1.91187062450176,-2.65359063044179,-1.53471971642572,3.11740294054821
4.3,-2.24701955031053,-1.63528820043741,-1.97171639085989,-2.61772130330026,-1.45154232201742,3.11253743323331
4.4,-2.14535371875936,-1.58775059450774,-2.00297946519676,-2.63296652298472,-1.35005332369569,3.10646001347937
4.5,-2.0505023681666,-1.53707665961496,-2.00421396949549,-2.68083526009971,-1.25537399766688,3.10053693319638
4.6,-1.9648262105187,-1.49264752574491,-1.98635290402119,-2.74113536262868,-1.16986256221415,3.0948654174098
4.7,-1.88582197609229,-1.45656825212365,-1.95541352044335,-2.80576267279418,-1.09102114357155,3.08925978017092
4.8,-1.81193874337524,-1.42938002643501,-1.91448398786704,-2.87107558058333,-1.01730269936456,3.08358538008093
4.9,-1.74234684524262,-1.41110121243878,-1.86544105908892,-2.93515576837388,-0.947880384501,3.07774693254312
5,-1.67659520427427,-1.40149770821745,-1.80958360406857,-2.99690916989215,-0.882305258936882,3.0716694713315
